uuid,datetime,borough,theme,message,user_days
42e9009a-8706-498d-be3b-94f48e299da2,2025-05-31T16:42:29.308241,13,maraude,Y a-t-il une distribution de repas prévue aujourd'hui dans le 13e arrondissement de Paris ?,
66f5ccd4-b0e1-47c9-9237-3cd5c2f46c2b,2025-05-31T16:47:48.848388,13,maraude,Y a-t-il une distribution de repas prévue aujourd'hui dans le 13e arrondissement de Paris ?,
27ee44f4-6e97-42ea-9162-a68e0dba79b8,2025-05-31T17:00:19.509599,13,maraude,Y a-t-il une distribution de repas prévue dans la semaine dans le 13e arrondissement de Paris ?,"Lundi, Jeudi"
6a4a6ac9-cce7-4cc5-8f23-7ff7aa400b3c,2025-05-31T17:02:17.732715,13,maraude,Y a-t-il une distribution de repas prévue dans la semaine dans le 13e arrondissement de Paris ?,
494d493d-4760-4f16-ab5e-ef8f19295a92,2025-05-31T17:02:28.878320,13,maraude,Y a-t-il une distribution de repas prévue dans la semaine dans le 13e arrondissement de Paris ?,"Lundi, Jeudi"
f1fa0180-a028-461e-9db8-24f08204fedf,2025-06-01T13:57:57.113901,13,maraude,Y a-t-il une distribution de repas prévue dans la semaine dans le 13e arrondissement de Paris ?,"Lundi, Jeudi"
1aae666f-8e67-4504-8cff-6a13b9939d3c,2025-06-01T14:03:26.417963,13,maraude,Y a-t-il une distribution de repas prévue dans la semaine dans le 13e arrondissement de Paris ?,
3872f4ef-9402-453f-80c0-f7dabfbdde98,2025-06-01T14:04:11.552334,13,maraude,Y a-t-il une distribution de repas prévue dans la semaine dans le 13e arrondissement de Paris ?,"Lundi, Jeudi"
8a459b2d-b58e-4edc-8f43-c708f709fdd1,2025-06-01T14:31:33.626860,5,maraude,je voudrais savoir s'il y a des distributions de nourriture dans le 5ème arrondissement ?,
4f25b831-96b7-4c09-a281-c16a62bd001c,2025-06-01T14:31:43.228962,5,maraude,"Bonjour, je voudrais savoir s'il y a de quoi manger dans le 5ème arrondissement ?",
4bf98d58-3bc2-4be6-9c08-f61b8a530160,2025-06-01T15:03:37.452516,14,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Vendredi, Mardi, Mercredi"
8a6a5d9f-1ce3-4465-aeb2-e33b95011253,2025-06-01T15:03:37.452516,18,maraude,Je cherche de l'aide pour manger.,Lundi
08ee2415-8253-47ad-ae9d-31c2f9d5cdb8,2025-06-01T15:03:37.453519,18,maraude,Je cherche de l'aide pour manger.,
493abdb2-8ef4-443a-91f7-b39fdec2a581,2025-06-01T15:03:37.453519,18,maraude,Je cherche de l'aide pour manger.,Lundi
e1a780b6-1e3b-4425-8e4a-47b3e836b036,2025-06-01T15:03:37.453519,17,maraude,Y a-t-il une maraude prévue cette semaine ?,"Jeudi, Mardi, Mercredi"
3a36b09d-3482-426d-bb88-e5871c85978c,2025-06-01T15:03:37.453519,4,maraude,Où manger dans le quartier ?,Mardi
b1a792b5-ebfd-43f3-ae15-bdcda0fbce4e,2025-06-01T15:03:37.453519,8,maraude,Y a-t-il une maraude prévue cette semaine ?,"Lundi, Mardi"
155d1622-48fc-498b-8e06-ba3e5bd57683,2025-06-01T15:03:37.453519,15,maraude,Y a-t-il une maraude prévue cette semaine ?,
e9cc016e-f817-448a-8280-62f966f0dcae,2025-06-01T15:03:37.453519,13,maraude,Y a-t-il une maraude prévue cette semaine ?,
3143bc80-2d3a-4720-a59e-babedceec1ac,2025-06-01T15:03:37.453519,15,maraude,Où manger dans le quartier ?,Vendredi
eb77fde5-a16a-404c-aa0c-edcbd8ef6eaf,2025-06-01T15:03:37.453519,14,maraude,Y a-t-il une distribution de repas aujourd'hui ?,"Mardi, Vendredi, Mercredi"
41c52c75-3875-4e7e-8a85-b7158b8bcdb9,2025-06-01T15:03:37.453519,19,maraude,Y a-t-il une maraude prévue cette semaine ?,Mardi
1c7d319c-6c73-4e22-a240-b964a1b65049,2025-06-01T15:03:37.453519,10,maraude,Y a-t-il une distribution de repas aujourd'hui ?,Jeudi
948404dc-57b0-4afb-a7c9-cf12c6265bc7,2025-06-01T15:03:37.453519,12,maraude,Je cherche de l'aide pour manger.,Lundi
